Source,Target,Type,Subject
21,23,Undirected,Media-Cult
21,24,Undirected,Media-AdLit
21,25,Undirected,Media-AdLit
21,26,Undirected,Media-AdLit
21,27,Undirected,Media-AdLit
21,35,Undirected,Media-Hist
21,36,Undirected,Media-Hist
21,37,Undirected,Media-Hist
22,23,Undirected,Cult
22,24,Undirected,Cult-AdLit
22,25,Undirected,Cult-AdLit
22,26,Undirected,Cult-AdLit
22,27,Undirected,Cult-AdLit
22,35,Undirected,Cult-Hist
22,36,Undirected,Cult-Hist
22,37,Undirected,Cult-Hist
23,24,Undirected,Cult-AdLit
23,25,Undirected,Cult-AdLit
23,26,Undirected,Cult-AdLit
23,27,Undirected,Cult-AdLit
23,35,Undirected,Cult-Hist
23,36,Undirected,Cult-Hist
23,37,Undirected,Cult-Hist
24,35,Undirected,AdLit-Hist
24,36,Undirected,AdLit-Hist
24,37,Undirected,AdLit-Hist
25,35,Undirected,AdLit-Hist
25,36,Undirected,AdLit-Hist
25,37,Undirected,AdLit-Hist
26,35,Undirected,AdLit-Hist
26,36,Undirected,AdLit-Hist
26,37,Undirected,AdLit-Hist
27,35,Undirected,AdLit-Hist
27,36,Undirected,AdLit-Hist
27,37,Undirected,AdLit-Hist
35,36,Undirected,Hist
35,37,Undirected,Hist
36,37,Undirected,Hist
